frame,target_x_m,target_y_m,target_z_m,actual_x_m,actual_y_m,actual_z_m,position_error_m,delta_q_norm_rad,success,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad
0,0.75,0.0,0.7,0.7506456971168518,1.7265851834195878e-15,0.7006291151046753,0.0009015046209761747,0.0,True,-3.930108061941351e-12,0.7008910578732362,-2.36013340184413e-12,-0.8029244204259492,7.904487876531606e-13,0.15519013640148774,0.0
1,0.750205569786814,0.0,0.7,0.7502134442329407,-2.990365116986582e-17,0.700002908706665,8.394490828272934e-06,0.0038093030952768177,True,-3.926060249966447e-12,0.6994453188171618,-2.3447913700034443e-12,-0.8063551826835426,7.950148303687106e-13,0.15599667157449612,0.0
2,0.750821715694759,0.0,0.7,0.7508142590522766,-3.643122587458636e-16,0.69999760389328,7.832167294117253e-06,0.0035104124530403636,True,-3.931991099076603e-12,0.7013563987987416,-2.361352266426591e-12,-0.803494077236756,7.910206371485085e-13,0.15530036379999243,0.0
3,0.7518467489107293,0.0,0.7,0.7518340349197388,-2.8780146668627715e-16,0.6999958157539368,1.3384822823835594e-05,0.00599818677928122,True,-3.942172576556172e-12,0.7046124301014681,-2.3896424507653752e-12,-0.7985992287122154,7.841933910459654e-13,0.15411000136921277,0.0
4,0.7532778598899291,0.0,0.7,0.7532597780227661,1.47925833908491e-17,0.6999940276145935,1.9042670704078144e-05,0.008445262269543,True,-3.9566021346153194e-12,0.7091907789978369,-2.4294855161910085e-12,-0.7917033636375823,7.745836381412052e-13,0.152434226606024,0.0
5,0.7551111260566398,0.0,0.7,0.7550874948501587,-1.5758200950719004e-16,0.6999921798706055,2.4891531561916387e-05,0.010927052203006864,True,-3.975436300611171e-12,0.7151048661084287,-2.4810583214981916e-12,-0.7827744881379456,7.62155159827854e-13,0.15026645682868234,0.0
6,0.757341522555727,0.0,0.7,0.7573120594024658,4.249394889785374e-17,0.6999902129173279,3.104616542053235e-05,0.01345743484367016,True,-3.998888886078778e-12,0.7223739067997392,-2.5446068744542613e-12,-0.7717681173912335,7.468572607998247e-13,0.14759748643064108,0.0
7,0.7599629360254198,0.0,0.7,0.7599271535873413,-3.992710025449431e-16,0.699988067150116,3.771970017367155e-05,0.016051757453224035,True,-4.027238434438304e-12,0.7310236352959062,-2.620453128806069e-12,-0.7586260280247301,7.286235814060116e-13,0.1444152542953988,0.0
8,0.7629681813536099,0.0,0.7,0.7629256844520569,1.7644035104485978e-16,0.6999858021736145,4.480585805089574e-05,0.018728605779910156,True,-4.060840602642445e-12,0.7410878934053693,-2.709009936357981e-12,-0.7432735023584177,7.073690698759869e-13,0.140704278839995,0.0
9,0.7663490213717448,0.0,0.7,0.7662990689277649,3.400329063457663e-17,0.6999832391738892,5.2689391261226736e-05,0.021511078259065883,True,-4.10014527752527e-12,0.7526108322535429,-2.810801820723217e-12,-0.7256154776371811,6.829857915456177e-13,0.13644487382132073,0.0
