frame,timestamp_s,distance_m,delayed_distance_m,raw_contact,robust_contact,delayed_contact,robust_phase,delayed_phase,raw_controller,robust_controller,delayed_controller,initialization_command_rad,geometry_refined_command_rad,raw_command_rad,robust_command_rad,delayed_command_rad,phase_mismatch,controller_mismatch
0,0.0,0.05,0.05,False,False,False,0,0,0,0,0,0.22,0.42000000000000004,0.22,0.22,0.22,False,False
1,0.03333333333333333,0.049,0.05,False,False,False,0,0,0,0,0,0.2218309549281908,0.42228323712022997,0.2218309549281908,0.2218309549281908,0.2218309549281908,False,False
2,0.06666666666666667,0.048,0.05,False,False,False,0,0,0,0,0,0.2236520757140603,0.42455599738039546,0.2236520757140603,0.2236520757140603,0.2236520757140603,False,False
3,0.1,0.047,0.05,False,False,False,0,0,0,0,0,0.22545358103491356,0.42680785765339535,0.22545358103491356,0.22545358103491356,0.22545358103491356,False,False
4,0.13333333333333333,0.046,0.05,False,False,False,0,0,0,0,0,0.22722579492361178,0.42902850199306086,0.22722579492361178,0.22722579492361178,0.22722579492361178,False,False
5,0.16666666666666666,0.045000000000000005,0.05,False,False,False,0,0,0,0,0,0.22895919873863252,0.4312077745136612,0.22895919873863252,0.22895919873863252,0.22895919873863252,False,False
6,0.2,0.044000000000000004,0.049,False,False,False,0,0,0,0,0,0.23064448228912682,0.4333357314205194,0.23064448228912682,0.23064448228912682,0.23064448228912682,False,False
7,0.23333333333333334,0.043000000000000003,0.048,False,False,False,0,0,0,0,0,0.23227259384037852,0.4354026919158573,0.23227259384037852,0.23227259384037852,0.23227259384037852,False,False
8,0.26666666666666666,0.042,0.047,False,False,False,0,0,0,0,0,0.2338347887310836,0.437399287710008,0.2338347887310836,0.2338347887310836,0.2338347887310836,False,False
9,0.3,0.041,0.046,False,False,False,0,0,0,0,0,0.23532267634132442,0.43931651087560025,0.23532267634132442,0.23532267634132442,0.23532267634132442,False,False
10,0.3333333333333333,0.04,0.045000000000000005,False,False,False,0,0,0,0,0,0.23672826515897144,0.4411457597911876,0.23672826515897144,0.23672826515897144,0.23672826515897144,False,False
11,0.36666666666666664,0.03900000000000001,0.044000000000000004,False,False,False,0,0,0,0,0,0.23804400570245907,0.442878882931023,0.23804400570245907,0.23804400570245907,0.23804400570245907,False,False
12,0.4,0.038000000000000006,0.043000000000000003,False,False,False,0,0,0,0,0,0.23926283106939472,0.44450822026920594,0.23926283106939472,0.23926283106939472,0.23926283106939472,False,False
13,0.43333333333333335,0.037000000000000005,0.042,False,False,False,0,0,0,0,0,0.24037819489321385,0.44602664207919784,0.24037819489321385,0.24037819489321385,0.24037819489321385,False,False
14,0.4666666666666667,0.036000000000000004,0.041,False,False,False,0,0,0,0,0,0.24138410650401268,0.4474275849236419,0.24138410650401268,0.24138410650401268,0.24138410650401268,False,False
15,0.5,0.035,0.04,False,False,False,0,0,0,0,0,0.2422751631047092,0.4487050846444572,0.2422751631047092,0.2422751631047092,0.2422751631047092,False,False
16,0.5333333333333333,0.034,0.03900000000000001,False,False,False,0,0,0,0,0,0.24304657878971253,0.4498538061792336,0.24304657878971253,0.24304657878971253,0.24304657878971253,False,False
17,0.5666666666666667,0.033,0.038000000000000006,False,False,False,0,0,0,0,0,0.24369421025023963,0.4508690700469299,0.24369421025023963,0.24369421025023963,0.24369421025023963,False,False
18,0.6,0.032,0.037000000000000005,False,False,False,0,0,0,0,0,0.24421457902821578,0.4517468753637042,0.24421457902821578,0.24421457902821578,0.24421457902821578,False,False
19,0.6333333333333333,0.031000000000000003,0.036000000000000004,False,False,False,0,0,0,0,0,0.24460489019923104,0.45248391926826653,0.24460489019923104,0.24460489019923104,0.24460489019923104,False,False
20,0.6666666666666666,0.030000000000000002,0.035,False,False,False,0,0,0,0,0,0.24486304738420683,0.4530776126553511,0.24486304738420683,0.24486304738420683,0.24486304738420683,False,False
21,0.7,0.029,0.034,False,False,False,0,0,0,0,0,0.2449876640091433,0.4535260921356547,0.2449876640091433,0.2449876640091433,0.2449876640091433,False,False
22,0.7333333333333333,0.028000000000000004,0.033,False,False,False,0,0,0,0,0,0.24497807075247147,0.45382822816076956,0.24497807075247147,0.24497807075247147,0.24497807075247147,False,False
23,0.7666666666666667,0.027000000000000003,0.032,False,False,False,0,0,0,0,0,0.24483431914000992,0.4539836292721473,0.24483431914000992,0.24483431914000992,0.24483431914000992,False,False
24,0.8,0.026000000000000002,0.031000000000000003,False,False,False,0,0,0,0,0,0.2445571812682172,0.4539926424538566,0.2445571812682172,0.2445571812682172,0.2445571812682172,False,False
25,0.8333333333333334,0.025,0.030000000000000002,False,False,False,0,0,0,0,0,0.2441481456572267,0.4538563495897261,0.2441481456572267,0.2441481456572267,0.2441481456572267,False,False
26,0.8666666666666667,0.024,0.029,False,False,False,0,0,0,0,0,0.24360940925593702,0.4535765600462868,0.24360940925593702,0.24360940925593702,0.24360940925593702,False,False
27,0.9,0.023000000000000003,0.028000000000000004,False,False,False,0,0,0,0,0,0.24294386564209952,0.4531557994236358,0.24294386564209952,0.24294386564209952,0.24294386564209952,False,False
28,0.9333333333333333,0.022000000000000002,0.027000000000000003,False,False,False,0,0,0,0,0,0.24215508948078038,0.45259729453681474,0.24215508948078038,0.24215508948078038,0.24215508948078038,False,False
29,0.9666666666666667,0.021,0.026000000000000002,False,False,False,0,0,0,0,0,0.24124731732467158,0.4519049547104341,0.24124731732467158,0.24124731732467158,0.24124731732467158,False,False
30,1.0,0.020000000000000004,0.025,False,False,False,0,0,0,0,0,0.2402254248593737,0.45108334948896595,0.2402254248593737,0.2402254248593737,0.2402254248593737,False,False
31,1.0333333333333334,0.019000000000000003,0.024,False,False,False,0,0,0,0,0,0.23909490071586606,0.45013768288425654,0.23909490071586606,0.23909490071586606,0.23909490071586606,False,False
32,1.0666666666666667,0.018000000000000002,0.023000000000000003,False,False,False,0,0,0,0,0,0.2378618169908201,0.44907376430029944,0.2378618169908201,0.2378618169908201,0.2378618169908201,False,False
33,1.1,0.017,0.022000000000000002,False,False,False,0,0,0,0,0,0.2365327966330913,0.44789797629302824,0.2365327966330913,0.2365327966330913,0.2365327966330913,False,False
34,1.1333333333333333,0.016,0.021,False,False,False,0,0,0,0,0,0.23511497787155938,0.4466172393397679,0.23511497787155938,0.23511497787155938,0.23511497787155938,False,False
35,1.1666666666666667,0.015,0.020000000000000004,False,False,False,0,0,0,0,0,0.23361597587537566,0.4452389738089193,0.23361597587537566,0.23361597587537566,0.23361597587537566,False,False
36,1.2,0.013999999999999999,0.019000000000000003,False,False,False,0,0,0,0,0,0.2320438418525429,0.4437710593353612,0.2320438418525429,0.2320438418525429,0.2320438418525429,False,False
37,1.2333333333333334,0.013000000000000005,0.018000000000000002,False,False,False,0,0,0,0,0,0.23040701980651004,0.4422217918208605,0.23040701980651004,0.23040701980651004,0.23040701980651004,False,False
38,1.2666666666666666,0.012000000000000004,0.017,False,False,False,0,0,0,0,0,0.2287143011830454,0.44059983829140525,0.2287143011830454,0.2287143011830454,0.2287143011830454,False,False
